timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:33:32.772941,2026-01-21,01:33:32,motorcycle,EXIT,1386,125,123
2026-01-21T01:33:35.322047,2026-01-21,01:33:35,truck,EXIT,1389,125,124
2026-01-21T01:33:35.454405,2026-01-21,01:33:35,motorcycle,ENTRY,1389,126,124
2026-01-21T01:33:36.193006,2026-01-21,01:33:36,motorcycle,EXIT,1390,126,125
2026-01-21T01:33:36.797109,2026-01-21,01:33:36,motorcycle,ENTRY,1390,127,125
2026-01-21T01:33:37.870694,2026-01-21,01:33:37,bus,EXIT,1391,127,126
2026-01-21T01:33:37.936915,2026-01-21,01:33:37,motorcycle,ENTRY,1391,128,126
2026-01-21T01:33:40.286587,2026-01-21,01:33:40,car,ENTRY,1399,129,126
2026-01-21T01:33:42.301997,2026-01-21,01:33:42,truck,ENTRY,1419,130,126
2026-01-21T01:33:43.371663,2026-01-21,01:33:43,bus,ENTRY,1421,131,126
2026-01-21T01:33:43.572155,2026-01-21,01:33:43,truck,ENTRY,1421,132,126
2026-01-21T01:33:43.907949,2026-01-21,01:33:43,bus,ENTRY,1421,133,126
2026-01-21T01:33:45.449584,2026-01-21,01:33:45,motorcycle,EXIT,1422,133,127
2026-01-21T01:33:46.189925,2026-01-21,01:33:46,motorcycle,ENTRY,1423,134,127
2026-01-21T01:33:46.727553,2026-01-21,01:33:46,car,ENTRY,1424,135,127
2026-01-21T01:33:47.196295,2026-01-21,01:33:47,motorcycle,EXIT,1424,135,128
2026-01-21T01:33:47.599322,2026-01-21,01:33:47,car,ENTRY,1424,136,128
2026-01-21T01:33:47.801090,2026-01-21,01:33:47,car,EXIT,1424,136,129
2026-01-21T01:33:49.072692,2026-01-21,01:33:49,motorcycle,EXIT,1427,136,130
2026-01-21T01:33:51.426323,2026-01-21,01:33:51,motorcycle,EXIT,1469,136,131
2026-01-21T01:33:51.896227,2026-01-21,01:33:51,motorcycle,EXIT,1472,136,132
2026-01-21T01:33:54.638525,2026-01-21,01:33:54,truck,EXIT,1475,136,133
2026-01-21T01:33:55.174358,2026-01-21,01:33:55,motorcycle,ENTRY,1475,137,133
2026-01-21T01:33:55.844537,2026-01-21,01:33:55,truck,EXIT,1476,137,134
2026-01-21T01:33:55.978690,2026-01-21,01:33:55,motorcycle,ENTRY,1476,138,134
2026-01-21T01:33:56.517036,2026-01-21,01:33:56,car,EXIT,1476,138,135
2026-01-21T01:33:56.985344,2026-01-21,01:33:56,car,EXIT,1477,138,136
2026-01-21T01:33:57.186697,2026-01-21,01:33:57,car,ENTRY,1478,139,136
2026-01-21T01:33:58.729951,2026-01-21,01:33:58,car,ENTRY,1479,140,136
2026-01-21T01:34:00.741529,2026-01-21,01:34:00,car,ENTRY,1480,141,136
2026-01-21T01:34:02.615256,2026-01-21,01:34:02,bus,ENTRY,1480,142,136
2026-01-21T01:34:02.751421,2026-01-21,01:34:02,truck,ENTRY,1481,143,136
2026-01-21T01:34:04.093715,2026-01-21,01:34:04,bus,ENTRY,1491,144,136
2026-01-21T01:34:08.533775,2026-01-21,01:34:08,car,EXIT,1557,144,137
2026-01-21T01:34:09.337604,2026-01-21,01:34:09,bus,EXIT,1562,144,138
2026-01-21T01:34:09.534882,2026-01-21,01:34:09,car,EXIT,1563,144,139
2026-01-21T01:34:09.604043,2026-01-21,01:34:09,motorcycle,ENTRY,1563,145,139
